PALAVRA;SENTIMENTO
irrealidade ;  -0.953
irrealista ;  -0.93
irreconhencivel ;  -0.781
irregular ;  -0.583
irrelevante ;  -0.868
irremediavelmente ;  -0.777
irrenunciável ;  -0.805
irreplaceableness ;  -0.568
irreprimível ;  -0.891
irresolúvel ;  -0.964
irresponsabilidade ;  -0.613
irresponsibleness ;  -0.775
irresponsável ;0
irrestrito ;0
irreverente ;  0.615
irreverência ;  -0.966
irritabilidade ;  -0.598
irritado ;  -0.137
irritante ;  -0.141
irritar ;  -0.125
irritar a mãe ;0
irritar a pessoa ;  -0.906
irritar a sua mãe ;  -0.997
irritar o bug ;  -0.915
irritar o som ;  -0.177
irritar o vizinho ;0
irritar seu pai ;  -0.997
irritação ;0
irritação da pele ;  -0.702
isca ;  0.059
isento ;  -0.713
isento de pagamento ;  -0.052
islamismo ;  0.076
isolado ;  -0.091
isolamento ;  -0.165
isqueiro ;0
item alimentar ;  0.063
item caro ;  0.796
item da árvore de natal ;  0.856
item de ;0
item de armazenamento ;  0.773
item de exibição ;  -0.048
item de lista ;  0.719
item de padaria ;  0.07
item de pesquisa ;  0.11
item de preço ;  -0.064
item de venda ;0
item de árvore ;  0.856
item do armazenamento de ;0
item pessoal ;  0.057
itálico ;  -0.958
jabot ;  0.522
jacaré ;0
jag ;0
james watt ;0
janela ;0
janela de capa ;  -0.088
janela de lavagem ;0
janela de tempo ;  -0.931
janela do trem ;0
janela quebrada ;  -0.245
janelas limpas ;  -0.065
jangada ;  0.153
janota ;  0.701
jantar ;  0.135
jantar de ação de graças ;  0.937
jantar italiano ;  0.974
jantar pesado ;  -0.914
jantar romântico ;  0.701
janus-faced ;0
japonês ;  0.029
japão popular ;  0.025
jaqueta ;  0.026
jaqueta amarela ;  -0.663
jaqueta de couro ;0
jaqueta impermeável ;  0.106
jar ;  0.035
jardim ;0
jardim botânico ;  0.026
jardim da frente ;  0.064
jardim da água ;  -0.091
jardim de flor ;  0.206
jardim de infância ;  0.035
jardim implementar ;  0.048
jardim planta ;0
jardim quintal ;  -0.123
jardim verde ;0
jargão ;  -0.62
jarra ;  0.214
jato de areia ;  0.957
jauntiness ;  0.853
jazer ;  0.075
jazz ;  0.901
jazz acima de ;  0.513
jazz ao redor ;  -0.665
jazzband ;  0.03
jazzístico ;0
jeer ;  -0.732
jeira ;0
jejuneness ;  -0.938
jerimum ;0
jerked beef ;  -0.569
jerry-construído ;0
jesus ;0
jet lag ;  -0.996
jibe ;  0.947
jiggle ;  -0.983
jimdandy ;  0.84
jimhickey ;  0.84
jingle ;  0.163
jingo ;0
jingoist ;0
jingoísmo ;  0.68
jitterbug ;0
joaninha ;  -0.026
jocosidade ;  0.699
jocundity ;  0.699
joelho ;  0.023
joelho de pele ;  -0.2
joelho machucado ;  0.894
joelho ruim ;  -0.168
jog ;0
jogado fora ;  -0.114
jogador ;  -0.786
jogador de bola ;  0.906
jogador de golfe ;0
jogador de hóquei ;0
jogadora de futebol ;  0.053
jogar ;0
jogar-se ;  0.985
jogar a fita ;  0.754
jogar a neve ;  0.988
jogar a orquestra ;  0.681
jogar a pessoa ;0
jogar a regra ;  0.038
jogar basquete ;0
jogar beisebol ;  0.064
jogar bilhar ;  0.844
jogar blackjack ;  0.818
jogar bola ;0
jogar boliche ;  0.054
jogar cachorro ;  0.051
jogar carta ;  -0.034
jogar cartas ;  0.028
jogar cd ;  0.941
jogar computador ;  0.931
jogar dados ;  0.959
jogar dentro de casa ;0
jogar dispositivo ;0
jogar duro ;  -0.196
jogar equipe ;  0.896
jogar fora ;  -0.229
jogar frisbee ;  0.925
jogar futebol ;0
jogar golfe ;  0.989
jogar humana ;  0.11
jogar hóquei ;  0.064
jogar jack ;  -0.039
jogar jogo de cartas ;  0.904
jogar jogo de computador ;  -0.148
jogar jogo de tabuleiro ;  0.084
jogar jogo juntos ;  0.068
jogar juntos ;  0.047
jogar na grama ;0
jogar no teatro ;  -0.056
jogar o amigo ;  0.837
jogar o esporte de equipe ;  0.877
jogar o gato ;  0.986
jogar o jogo ;  0.711
jogar o jogo de basquete ;0
jogar o jogo de beisebol ;  0.713
jogar o jogo de xadrez ;  -0.045
jogar o mármore ;  0.063
jogar o objeto ;0
jogar o truque de mágica ;  0.818
jogar o verificador ;  0.775
jogar ping-pong ;  0.854
jogar poker ;  -0.034
jogar polo ;  0.041
jogar risiko ;  -0.122
jogar rugby ;0
jogar tinta ;  -0.098
jogar truques ;  -0.668
jogar vídeo game ;  0.896
jogar vôlei ;  0.892
jogar xadrez ;  -0.049
jogar água ;  0.063
jogo ;  0.092
jogo antigo ;0
jogo atlético de gelo ;  0.7
jogo da música ;0
jogo de aprender ;  0.034
jogo de azar ;  -0.92
jogo de ação ;  0.056
jogo de banda ;  0.11
jogo de bola ;  0.082
jogo de burlas ;  0.931
jogo de cartas ;  -0.035
jogo de caça ;  -0.114
jogo de criança ;0
jogo de empilhamento ;  0.081
jogo de equipe ;  0.72
jogo de espera ;  0.681
jogo de esporte ;0
jogo de força ;  -0.83
jogo de futebol ;0
jogo de futebol americano ;  -0.023
jogo de luz ;0
jogo de moralidade ;  0.734
jogo de operação picada ;  0.931
jogo de orquestra ;  0.748
jogo de tabuleiro ;0
jogo de tênis ;  0.024
jogo de xadrez ;  0.048
jogo difícil ;  0.887
jogo directo ;0
jogo divertido ;0
jogo do acidente ;  -0.931
jogo do balanço ;0
jogo do divertimento ;  0.814
jogo do relógio ;  0.943
jogo duro ;0
jogo empatado ;  -0.035
jogo importante ;0
jogo popular ;0
jogos ;  0.738
jogos de computador viciado ;  -0.969
jogue ;  0.611
jogue bola ;  0.054
jogue fora o lixo ;  0.892
jogue o objeto ;  0.747
joint venture ;  0.59
joquei ;0
jornal da escola ;  0.097
jornal de encontrar mais recente ;  0.088
jornal de notícias ;  0.074
jornal do livro ;  0.067
jornal impresso ;0
jornal revista ;  0.021
jornal velho ;  -0.732
josef stálin ;  0.042
jot ;0
jota ;  0.039
jovem ;  0.068
jovem garoto ;  0.054
jovem mulher ;0
jovem para sempre ;  0.107
jovens ;  0.025
jovial ;  0.715
joyousurous ;  0.983
juba ;  0.039
jubilant ;  0.705
judaísmo ;  -0.023
judia ;0
judiaria ;  -0.024
judiciosa ;  0.625
judiciousness ;  0.968
judô ;0
jugde ;  -0.926
juiz ;  0.046
juiz decidir ;  -0.088
juke ;  -0.825
julgamento ;0
julgamento desfavorável ;  -0.543
julgamento do tribunal ;0
julgamento justo ;  0.828
julgar ;  0.862
julgar a pessoa ;0
junco ;  0.656
junior-grau ;0
junk food ;  -0.98
junk mail ;0
junta universal ;  0.196
juntar ;  0.936
juntar ao exército ;0
juntar o amigo ;  0.754
junte-se a equipe ;  0.958
junte-se militar ;  -0.087
juntos ;  0.211
junção ;  0.101
juramento ;0
jurisdição ;  0.12
jurista ;  0.797
juros de mora ;  0.628
justeza ;  0.594
justificativa ;  0.579
justificação ;  -0.798
justiça ;  0.059
justiça seja feita ;0
justo ;  0.715
juventude ;0
juíza ;0
juízo ;0
jóia ;  0.708
jóia da coroa ;  0.522
jóia preciosa ;0
jóia valiosa ;  0.061
júbilo ;  0.703
júri ;0
júri de juiz ;0
júri de membros ;0
kamikaze ;  -0.596
karaokê ;  0.925
karma ;  0.791
kasta ;  -0.919
katana ;  -0.04
kempt ;  0.888
kerfuffle ;  -0.794
kernel ;0
kernicterus ;  -0.647
ketchup ;  0.798
kind-heartedness ;  0.56
kink ;0
kit de ;  -0.044
kit de barbear ;0
kit de costura ;0
kit de primeiros socorros ;  -0.063
kit de viagem ;  0.712
kit e caboodle ;  0.639
kit médico ;  -0.024
kitsch ;0
knicks ;  -0.589
knifelike ;0
knifet cirúrgico ;  0.932
knotty ;  -0.93
knuckle ;0
korkin ;  0.701
kraft ;  -0.741
kraurosis ;  -0.869
kwashiorkor ;  -0.712
labareda ;  -0.7
labile ;  0.766
laboratório de informática ;0
laboratórios ;0
laboriousness ;  -0.646
lacerar ;  -0.086
laceração ;  -0.12
lachrymose ;  -0.71
lackadaisical ;  -0.833
lacrau ;0
lacrimejar ;  -0.107
lactobacillus acidophilus ;  -0.998
lactobacilo ;  -0.998
lactose ;  0.04
lacuna ;0
lacuna de ponte ;  0.867
lado ;  0.041
lado a lado ;0
lado da montanha ;  0.927
lado do país ;  0.038
ladrão ;0
ladrão de lojas ;  0.041
lagartas de mariposa ;  -0.534
lagartos ;  -0.028
lago ;  0.771
lago de fluxo ;0
lago de ir ;  -0.053
lago de mergulho ;  0.827
lago de peixes ;0
lago do rio ;0
lagosta ;  0.061
lallation ;  -0.846
lama ;  -0.726
lambe-botas ;  -0.558
lamber o dedo ;  -0.044
lamborghini ;  0.755
lame duck ;  0.984
lamentar-se ;  -0.11
lamento ;0
lamentosa ;  -0.902
lamentável ;  -0.866
lanche rápido ;  0.796
lanche saudável ;  0.96
lanches ;  0.82
lanchonete ;  0.826
lanchonete restaurante ;  0.076
landim ;0
langor ;  0.509
langoroso ;  0.509
languorously ;  0.509
lantejoula ;  0.087
lanterna ;0
lanxess ;  0.723
lança ;  0.107
lançar ;  -0.026
lapidar ;0
lapiseira ;  0.871
laptop ;0
lar ;  -0.776
lar acolhedor ;  0.24
lar de idosos ;0
lar destruído ;  -0.957
lar doce lar ;  -0.104
lar temporário ;  0.092
laranja ;  0.9
laranja nativa ;  -0.573
laranja vermelha ;  -0.041
larga a mão ;0
largar mão ;  -0.99
largo ;0
largura ;0
largura da marca ;  -0.515
larva ;0
laryngostenosis ;  -0.815
lasanha ;  0.043
laser ;0
lassidão ;  0.243
lastimar ;  -0.732
lata de lata ;  -0.952
lata de lixo ;0
lateral ;  -0.92
latido de cão ;  -0.135
latino ;0
laudability ;  0.76
laudableness ;  0.76
laudatório ;  0.722
laudo pericial ;  0.628
lauto ;0
lavagem ;  -0.604
lavagem auto ;0
lavagem da mão ;0
lavagem de carro ;0
lavagem do cabelo ;  -0.103
lavanda ;  0.591
lavanderia ;0
lavar ;  -0.074
lavar-se oneself ;  0.785
lavar a roupa ;0
lavar a sujeira ;  0.075
lavar as mãos ;  0.053
lavar atrás da orelha ;0
lavar louça ;  0.786
lavar o cabelo ;  0.855
lavar o corpo ;  0.785
lavar o cão ;  0.813
lavar primeiro ;  -0.045
lave com sabão de boca ;  -0.846
lave o dente ;  0.867
lax ;  -0.569
laxante ;  0.069
laze ;  0.08
lazer ;  -0.771
laço ;  0.228
laço social ;  0.166
leal ;0
lealdade ;  0.956
lebre ;0
lebre de corrida ;  -0.045
leer ;  -0.115
legado ;  -0.061
legal ;0
legal proceder ;0
legislação ;0
legislação sobre a natureza ;0
legitimar ;  0.886
legumes grelhados ;0
legítimo ;  -0.642
legível ;  0.026
lei ;  0.778
lei da partição de nernst ;  0.463
lei de férias ;0
lei do efeito ;  0.778
lei dos rendimentos decrescentes ;  0.778
lei quebrada ;0
leia ;  0.863
leia a carta ;  0.742
leia a direção ;  -0.09
leia a história ;0
leia capa ;  -0.115
leia com atenção ;  -0.116
leia em voz alta ;  -0.148
leia história ;  0.965
leia menu ;0
leia o artigo ;0
leia o assunto do livro ;0
leia o crédito ;  0.913
leia o documento ;  0.899
leia o jornal ;  -0.058
leia o livro ;0
leia o livro bom ;0
leia o livro de ciência ;0
leia o livro de história ;0
leia o livro de inglês ;0
leia o manual ;  -0.055
leia o manual de instruções ;0
leia o material ;  0.767
leia o programa ;0
leia o rótulo ;  0.945
leia rápido ;  0.837
leigos ;  -0.725
leiloar ;0
leio muito ;  -0.048
leite ;  0.951
leite azedo ;  -0.104
leite condensado ;  0.051
leite de caixa ;  0.983
leite expirado ;  -0.981
leite fresco ;  0.053
leito de morte ;  -0.952
leito do rio ;  -0.023
leitor de cartão de negócio ;  -0.883
leitor de cassetes ;  0.09
leitor de dvd ;  0.09
leitor de mente ;  0.9
leitor de música ;  0.032
leitos de rios ;  -0.023
leitosa galáxia ;  0.052
leitoso ;  0.052
leitura ;  0.572
leitura comprar jornal ;  -0.058
leitura divertida ;  0.089
leitura errada ;  -0.872
leitura humana ;  -0.068
lema ;  -0.153
lembrança ;  -0.098
lembrar ;  0.541
lembre-se a mesmo ;  0.759
lembre-se de ;0
lembre-se de data ;  0.601
lembre-se de evento ;  0.933
lembre-se de fato ;  0.689
lembre-se de informações ;  0.69
lembre-se o número de telefone ;  -0.061
lembre-se passado ;  0.859
lembre-se tarde ;  -0.127
lembrete ;  -0.028
lenda ;0
lendária ;  -0.677
lendário ;  0.898
lenha ;  0.053
lenhite ;  0.599
lente de aumento ;  0.057
lente de contato ;0
lentidão ;  -0.975
lento ;  -0.713
lençol ;0
lepidote ;  -0.774
lepisma saccharina ;  -0.703
leprose ;  -0.774
leptomeningitis ;  -0.773
ler a bíblia ;0
ler a cópia fina ;  -0.059
ler e-mail ;  -0.058
ler em voz alta ;  -0.071
ler fazendo correções ;  0.642
ler jornal ;  0.899
ler mensagem ;  0.109
ler música ;  0.899
ler notícias ;  0.494
ler o conto de fadas ;  0.073
ler o novo livro ;  0.331
ler quadrinhos ;0
ler revista ;0
ler um livro ;  0.911
lesionado ;  -0.968
lesão cerebral ;  -0.172
lesão de garganta ;0
lesão de resultado ;  -0.027
lesão dolorosa ;  -0.131
lesão física ;  -0.129
lesão muscular ;  -0.413
lesão no joelho ;  -0.933
lesão terrível ;  -0.925
lesões de pele ;  -0.057
letal ;  -0.112
letargia ;  -0.767
letra cursiva ;  -0.899
letra de música ;  0.075
letras de músicas ;  0.071
letárgico ;  -0.567
leucemia ;  -0.856
leva a carteira ;  -0.061
levado a sério ;  0.42
levando ;0
levanta a menina ;0
levanta o braço ;  0.072
levanta o pé ;0
levantamento de peso ;  -0.603
levantando ;  0.858
levantando o ;  0.902
levantar ;0
levantar-se ;0
levantar a voz ;  -0.089
levantar bandeira ;0
levantar dinheiro ;  -0.038
levantar o espírito ;  0.995
levantar o inferno ;  -0.145
levantar objectos pesados ;  0.033
levantar peso ;  -0.062
levante-se ;  0.023
levante a mão ;  0.937
levante a mão direita ;  -0.129
levante os pés ;  0.759
levante sua perna ;  -0.1
levantou-se ;  0.027
levar ;  0.05
levar a carteira ;  -0.062
levar a doença ;  -0.116
levar a mensagem ;  0.109
levar a pessoa ;0
levar a praia ;  0.72
levar a roupa suja ;  -0.023
levar a tribunal ;  0.797
levar dinheiro ;0
levar o almoço ;  0.063
levar o livro ;  -0.041
levar pancada ;  -0.914
levar para casa ;  -0.942
levar tempo ;0
leve a criança ;0
leve a médio prazo ;  -0.031
leve ao forno ;  0.032
leve ao forno bem ;  0.077
leve comida de vitamina ;  0.863
leve dor ;  -0.903
leve final ;  -0.031
leve fácil ;0
leve o bilhete ;0
leve o cartão de crédito ;  -0.047
leve para casa ;0
levedura ;0
levemente ;  0.672
leveza ;  0.69
leviandade ;  0.897
leviatã ;  -0.938
levitar ;  0.037
levo as coisas ;  -0.048
leão ;  -0.033
leão enjaulado ;0
lhama doméstica ;  0.553
li um monte ;  -0.062
libação ;  0.807
libel ;  0.907
liberado ;  0.857
liberal ;  0.92
liberar ;  0.84
liberar a tensão ;  0.194
liberar o stress ;  0.224
liberação de energia ;  0.741
liberdade ;  0.887
liberdades civis ;  0.73
libertino ;0
libidinoso ;  0.098
libra de medida ;0
licenciatura ;  0.032
licenciosidade ;  -0.693
licença ;  -0.037
licença de ancinho ;  -0.101
licença de drive ;  0.099
licença de motorista ;  0.673
licenças de construção ;  0.673
licitação ;  0.707
licor ;  0.693
licor de anis ;  0.693
lidando com uma situação ;0
lidar ;0
lidar com cuidado ;  0.76
liderança ;  0.053
lier ;  -0.217
liga ;  0.04
liga a ignição ;0
liga metálica ;  0.024
ligado ao ;  -0.818
ligar ;  0.192
ligar luz ;  0.937
ligar o motor ;0
ligar o motor do carro ;0
ligar para a família ;  0.281
ligar para mãe ;0
ligar para o telefone ;0
ligar tv ;  0.837
ligeira ;  -0.863
lightsomeness ;  0.69
ligue ;  -0.12
ligue de volta ;  0.281
ligue o aquecimento ;  0.681
ligue o ar condicionado ;  0.681
ligue o computador ;0
ligue o condicionador de ar ;  0.899
ligue o leitor de dvd ;  -0.086
ligue o rádio ;  0.918
ligue o telefone ;0
ligue o ventilador ;  0.899
ligue para a frente ;  -0.836
ligue para o 911 ;  -0.076
ligue rádio ;  0.727
liliputianos ;0
lilt ;  0.982
lima ;0
limbo ;  0.128
limitar a ;  0.519
limitação ;  -0.905
limite ;  0.713
limite de crédito ;  -0.938
limite de envio ;  -0.102
limite de tempo ;  -0.038
limonada ;  0.111
limpa-se ;  0.076
limpar ;  0.986
limpar-se ;  0.076
limpar a bagunça ;  -0.226
limpar a cabeça ;  0.84
limpar a casa ;0
limpar a cozinha ;  0.935
limpar a garganta ;  -0.046
limpar a lágrima ;0
limpar a mesa ;  0.801
limpar chão ;  0.815
limpar entre os dentes ;  -0.051
limpar o ar ;  0.576
limpar o corpo ;0
limpar o nariz ;  -0.151
limpar o sujo ;  0.159
limpe ;  0.72
limpe a boca ;  0.159
limpe a mente ;0
limpe fora lágrima ;  0.166
limpe frequentemente ;  -0.027
limpe o derramamento ;0
limpe o guardanapo de boca ;  0.159
limpe o olho ;  0.812
limpe o pé ;  -0.077
limpeza ;0
limpeza pessoal ;  0.986
limusine ;  0.028
lince-vermelho ;  -0.033
linda ;  0.844
linda bem útil ;  -0.046
linda criatura ;  0.816
linda flor ;  0.105
linda mulher ;  0.333
linda música ;  0.716
lindo ;  0.091
lindo animal ;  0.02
lindo dia ;  0.984
lindo som ;  0.046
lindo sorriso ;  0.046
linfa ;  0.883
linfedema ;  -0.998
lingote ;  0.028
linguagem comum ;  0.097
linguagem corporal ;0
linguagem de autoria ;  -0.849
linguagem escrita ;0
linguagem humana ;0
linguagem universal ;  0.08
lingüística ;0
linha ;  0.846
linha amarela ;0
linha curta ;  -0.766
linha da agulha ;  -0.054
linha de cor ;  -0.765
linha de corte ;  -0.081
linha de espera ;  -0.032
linha de fundo ;0
linha de montagem ;0
linha de pintura ;0
linha de telefone ocupada ;  -0.778
linha de tempestade ;  -0.872
linha do tempo ;  -0.122
linha lateral ;  -0.728
linha ondulada ;  -0.842
linho ferrugem fungo ;  -0.512
link ;  0.023
liofilizado ;  0.789
liquidificador ;  0.053
lirismo ;  0.609
liso-falado ;0
lisonja ;  0.134
lista ;  0.113
lista de loja ;  0.705
lista telefônica ;0
listra ;  0.942
listra de estrela ;0
listrado ;  -0.054
lisura ;  -0.643
lite ;  0.092
liteira ;  0.049
literalidade ;  0.68
literatura ;  0.587
lithesome ;0
litigante ;  0.071
litigar ;  -0.032
litispendência ;  0.804
litoral ;  0.203
litro ;  0.068
litígio ;0
live wire ;  0.78
lividez ;  -0.115
lividly ;  -0.115
livrar-se ;0
livrar-se de ;  -0.989
livrar-se do inimigo ;  0.835
livraria ;0
livresco ;  0.71
livro-caixa ;  0.041
livro aberto ;0
livro branco ;  0.731
livro da escola ;0
livro de aprender ;  0.052
livro de biologia ;0
livro de ciência ;0
livro de criança ;0
livro de endereços ;  0.038
livro de estudo ;0
livro de ficção científica ;  0.036
livro de história ;  0.046
livro de matemática ;0
livro de músicas ;0
livro de nota ;  0.77
livro de notas ;  -0.028
livro de papel ;  0.024
livro de receitas ;0
livro de revisão ;0
livro de texto ;  0.881
livro final ;  -0.056
livro lido ;  0.725
livro religioso ;  -0.06
livro revisto ;  -0.056
livro se relacionam ;  0.762
lixeira ;  0.704
lixeira mergulho ;  -0.055
lixo espacial ;  0.785
lição ;  0.739
lição de classe ;  0.677
lição de computador ;  0.737
lição de matemática ;  0.764
loathly ;  -0.089
lobos selvagens ;  0.731
local ;  0.123
local de alimentos ;  0.123
local de colheita ;0
local de educação ;0
local de estudo ;  -0.04
local de sepultamento ;  -0.738
local de trabalho ;  0.924
local turístico ;0
localizar informações ;  0.878
localizar o lugar ;  -0.987
localização de casa ;  0.021
locomotiva a vapor ;  -0.046
locomoção ;0
locustídeo pretos ;  -0.856
locutora ;  0.101
lodo ;0
log cabin ;  0.021
log z ;  -0.951
logginess ;  -0.732
logia ;  -0.567
logomania ;  -0.898
logorrhea ;  -0.898
logorrheic ;  0.852
lograr ;  -0.668
logótipo ;0
loira ;0
loja ;  0.101
loja da esquina ;0
loja da melhoria home ;  0.987
loja da mente ;  0.96
loja de alimentos ;0
loja de alimentos saudáveis ;0
loja de animais ;0
loja de antiguidades ;0
loja de armarinhos ;0
loja de armas ;  -0.056
loja de artigos de desporto ;0
loja de artigos de papelaria ;  0.026
loja de bebidas ;  0.992
loja de bicicleta ;  -0.072
loja de bicicletas ;0
loja de bolsas ;0
loja de brinquedos ;0
loja de carne ;  0.069
loja de chapéus ;0
loja de comparação ;0
loja de conveniência ;0
loja de câmeras ;0
loja de delicatessen ;0
loja de departamentos ;0
loja de desconto ;  0.057
loja de desporto ;  0.035
loja de dez centavos ;0
loja de discos ;  -0.053
loja de doces ;0
loja de donuts ;0
loja de esquina ;0
loja de ferragem ;  0.048
loja de ferragens ;  0.838
loja de ferramenta ;0
loja de filme ;0
loja de flores ;  0.206
loja de férias ;  0.992
loja de gelo ;  0.793
loja de impulso ;  -0.034
loja de instrumentos musicais ;  0.74
loja de janela ;  -0.053
loja de janela de intervalo ;  -0.931
loja de jóias ;0
loja de livro ;  -0.055
loja de livros ;  0.228
loja de móveis ;  0.056
loja de música ;  0.74
loja de natal ;0
loja de papel ;  -0.056
loja de penhores ;  -0.053
loja de pizza ;  0.06
loja de presentes ;  0.935
loja de produzir ;0
loja de roupas ;  -0.027
loja de sapatos ;  -0.059
loja de sorvete ;  0.071
loja de tapete ;  -0.075
loja de tecido ;0
loja de tecidos ;  0.781
loja de vegetais ;  0.03
loja de vestido ;  -0.036
loja líquido ;0
loja pano ;  -0.06
loja pessoal ;  -0.036
loja toalha ;  0.118
lojas ;0
lojista ;  0.022
lol ;  0.236
lombo frito ;  0.027
londrina ;0
longa distância ;  -0.089
longa estrada ;0
longa história ;  0.1
longa viagem ;  -0.996
longa vida ;  0.879
longa vida útil ;  0.947
longas e estreitas ;0
longas e finas ;0
longe ;  -0.853
longe de ;  -0.914
longe de casa ;0
longe um do outro ;  -0.844
longevidade ;  0.097
longo prazo ;  0.927
longo tempo de espera ;  -0.983
longo tempo de execução ;  -0.065
longsighted ;  0.545
lontra ;0
loon ;  -0.997
looney ;  -0.648
loop de ;0
loop temporal ;  -0.027
lordes ;  -0.652
losango ;0
louca ;  0.798
louche ;  0.725
louco ;  -0.159
loucura ;  -0.924
loucura de carro ;  -0.087
lousiness ;  -0.97
louvando ;  0.722
louvor ;  0.561
louças ;  0.022
lovelorn ;  -0.859
lovesome ;0
low-spiritedness ;  -0.752
lowbrow ;  0.849
lowbrowed ;  0.849
lowerclassman ;  0.044
loção ;0
loção bronzeadora ;  0.041
loção de cabelo ;0
lua-de-mel ;  0.906
lua da terra ;0
lubrificantes ;0
lubrificação ;0
lucidez ;  0.972
lucrativo ;  0.998
lucro ;  -0.066
luculent ;0
lufa-lufa ;  -0.947
lufada de ar fresco ;  0.772
lugar ;0
lugar alto ;0
lugar ao vivo ;0
lugar barulhento ;0
lugar bonito ;  0.089
lugar calmo ;0
lugar confortável dormir ;  0.165
lugar de acampamento ;0
lugar de adoração ;0
lugar de animal ;0
lugar de aprender ;0
lugar de aprendizagem ;  -0.04
lugar de armazenamento ;  -0.033
lugar de beber ;  -0.777
lugar de brincar ;0
lugar de casa ;  0.031
lugar de comer ;  0.076
lugar de comida ;  0.055
lugar de crescer ;0
lugar de descanso ;0
lugar de dinheiro ;  0.021
lugar de estudante ;  0.053
lugar de golfe ;0
lugar de linha ;  0.091
lugar de morte ;0
lugar de morto ;  -0.147
lugar de planta ;  0.027
lugar de religioso ;  0.709
lugar de reunir ;  0.025
lugar de trabalho ;  0.03
lugar de viagens ;0
lugar divertido ;  0.197
lugar do sono ;  0.068
lugar dormir ;  0.165
lugar errado ;0
lugar grande ;  0.034
lugar icônico ;0
lugar maravilhoso visita ;  0.029
lugar melhor do mundo ;  0.79
lugar onde as pessoas vivem ;0
lugar para beber ;  0.208
lugar para sentar ;  0.988
lugar para viver ;  0.028
lugar pequeno ;0
lugar predileto ;  0.165
lugar privado ;0
lugar público ;0
lugar quente ;  0.608
lugar sagrado ;  0.872
lugar seguro ;  0.122
lugar sombrio ;  -0.025
lugar tranquilo ;0
lugar vazio ;0
luir ;  0.037
lume ;  -0.535
luminosidade ;  0.931
luminária ;  0.09
lunático ;  -0.648
lustrosa ;  0.042
luta ;  -0.948
luta de espadas ;  -0.914
lutador ;  0.941
lutador do exército ;0
lutadores de sumô ;0
lutar ;  -0.053
lutar contra ;  -0.794
lutar contra a doença ;0
lutar contra a guerra ;0
lutar contra o inimigo ;0
lutar contra os outros ;  -0.717
luto ;  0.998
luva ;  0.57
luva de desgaste ;  -0.043
luva de inverno ;  0.053
luva de látex ;0
luxar ;  -0.883
luxação ;  -0.097
luxuoso ;  0.558
luxuriante ;  0.558
luxúria ;  0.927
luz ;  0.761
luz bem ;  0.05
luz branca ;0
luz brilhante ;  0.085
luz colorida ;  0.058
luz da lua ;0
luz de calor ;  -0.141
luz de fogo ;0
luz de rua ;  0.038
luz de vela ;0
luz do flash ;  -0.034
luz do foco ;  0.088
luz do fogo ;0
luz do sol durante o dia ;  0.833
luz negra ;0
luz no céu ;  0.02
luz piloto luz ;  0.854
luz solar de bloco ;0
luz sombria ;0
luz vermelha ;  -0.051
luzeiro ;  0.65
luzir ;  0.042
lá em baixo ;0
lá em cima ;0
lá fora ;  0.879
lá fora mesmo ;  0.92
lá no alto ;  -0.046
lábios molhados ;  0.996
lágrima do olho ;  -0.741
lápis ;  0.773
lápis de grafite ;  0.022
lápis de grafite mecânico ;  0.031
lápis papel ;  0.023
látex ;0
látices ;  0.626
lâmina de barbear ;  0.023
lâmpada ;  0.761
lâmpada incandescente ;  -0.838
lâmpadas ;  0.046
lânguida ;  -0.756
lã ;  -0.035
lã animal ;  -0.036
lã de aço ;  0.811
lépton ;  0.02
lêmure ;0
lícito ;0
líder ;  0.035
líder da marinha ;  0.041
líder de torcida ;  0.761
líder do exército ;  0.023
líder do país ;  0.054
líder religioso ;  0.031
límpida ;0
língua ;0
língua-óssea-malhada ;  0.565
língua de unidade ;  -0.031
língua italiana ;  0.041
líquen ;  0.931
líquido ;  0.048
líquido congelado ;  0.1
líquido de limpeza ;  0.035
líquido de limpeza seco ;0
líquido escuro ;0
líquido espesso ;0
líquido potável ;  0.058
líquido preto ;  -0.119
líquido quente ;  0.079
lírica ;  0.091
lírico ;  0.704
lítio ;0
lívido ;  -0.115
lógica ;  -0.08
lógico ;  -0.027
lúcido ;  -0.024
lúgubre ;  -0.798
lúnula ;0
lúpus eritematoso sistemico ;  -0.909
macacão ;0
macaquice ;  -0.132
macerado ;0
machado ;0
machilid ;  -0.703
macho alfa ;0
machucar ;0
machucar a mesmo ;  -0.788
machucar a pele ;  -0.907
machucar o pé ;  -0.993
machucar outra pessoa ;  -0.734
machucou a orelha ;  0.948
machucou o dedo do pé ;  -0.121
machucá-los ;  -0.998
machudar ;0
maciça ;0
maconha ;  -0.808
macroalga ;  -0.659
madcap ;  0.631
madeira ;  0.043
madeira de longa ;0
madeira de árvore ;  0.711
madeira fina ;  0.026
madeira macia ;  0.082
madeira petrificada ;0
madonna ;  0.057
maduras ;  0.764
magia branca ;  0.7
magia negra ;  -0.888
magistral ;0
magistrate ;  -0.972
magnetismo ;  0.066
magnitude ;0
magnânimo ;  0.76
magnésio ;  -0.03
magnético ;  0.102
magnífica ;  0.915
magnólia ;0
mago ;  0.594
magoar ;  -0.757
magoar-voltar ;  -0.992
magoar os outros ;  -0.76
magpie sino ;0
magrela ;0
magrelo ;0
magreza ;  -0.741
magricela ;0
maionese ;  -0.086
maior do que o habitual ;  -0.762
maioria ;  0.059
