ALUNO;MENSAGEM
38;jejuno
38;morfa
38;vaiii
38;calcula
38;hauhauahua
61;kkkkkkk
45;q q é regra emepirica?
38;sla
45;empirica*
38;mas faz na calculadora msm
38;vai q da bom
61;desvio padrao = 3.08
45;letra F entao
38;s
38;bora
61;bora
61;mais eu nao sei q bagulho eh esse de regra empirica da amplitude
38;eu respondi
45;não é aquela parada de diminuir o menor do maior e fazer as contas do desvio padrao com esse resultado?
45;não lembro direito
61;nao sei mano 
45;acho q o ideal é ir na f entao
38;era
38;pegar o maio e o menor
38;subtrair
38;e dividir por 4
38;sepa
38;alguma coisa assim
45;dividir por 4? a resposta vai dar 2 dae
38;mas vai dar 3  tbm
38;sla entao
38;peguei os numero errado aqui
45;25-17=8/4=2
38;mas nao sei se é isso mano[
38;o q vcs acham ?
61;to tentando procurar alguma coisa no google
38;procuura
38;eu tbm to
45;http://www.ernestoamaral.com/docs/dcp854b-122/Aula04-05.pdf
45;é essa parada de dividir por 4 mesmo
45;a resposta é 2 entao
45;letra D
38;pronto
38;respondam aiii
38;bora bora
38;vamo acabar esses exerssss
45;kkkkkkkk
45;coloquei D entao
38;eu tbm
23;ola 
53;pla
32;a cris ta com caxumba ne?
53;ola*
23;aham kkkkkk 
23;o de vcs nao apareceu as perguntas?
23;o meu ta branco 
53;apareceu
32;apareceu
23;ae 
23;apareceu agr 
32;acho q A e B
53; a a??
53;tem certeza
53;eu achei q tava errada
32;é meio duvidosa mesmo
23;a D ta certa tbm eu acho 
23;A A acho q ta errada 
23;"porém tem aquele ""sempre"" ali no D"
53;uma amostra grande é melhor q uma amostra escolhida aleatoria de maneira apropriada
53;tbm acho q nao
53;to em duvida do c
23;e agora?
53;a ai? so b ou c tbm?
23;eu n sei tbm 
32;a cris ta on mas n consege entrar na atividade
23;ue 
32;vamo tentar sair e entrar dnv
32;ue
53;ok
32;sai e consegui voltar de boa
53;tbm
53;vamos sair tds e ai vai para td
53;blz?
32;ok
32;ana?
23;oi
32;tinha caido ai?
23;aham
23;minha net muito rui 
23;ruim
31;oi
31;desculpa, vi agora so 
32;conseguiu 
32;aeee
23;o pedro saiu?
23;aeee crisssss
32;caiu o dele
31;hahahah
53;voltei
31;ja fizeram essa questão?
32;n 
31;ata 
23;aee
32;tamo pensando
23;entao 
23;A e D nao temos certeza
53;so b ou c tbm?
23;Acho q só B 
53;pra mim so essas duas parecem certas
23;Não to confiando nessa C 
31;nao tem na apostila nada sobre?
32;gente, li esse link aqui e acho que a B ta errada e a C a certa
32;http://support.minitab.com/pt-br/minitab/17/topic-library/modeling-statistics/doe/basics/replicates-and-repeats-in-designed-experiments/
53;nao encontrei
32;ve vcs ai e me falem
31;ta
23;não achei na apostila tbm 
31;Replicações são várias corridas experimentais com as mesmas configurações de fatores (níveis). As replicações estão sujeitas às mesmas fontes de variabilidade, independentemente umas das outras. É possível replicar combinações de níveis de fatores, grupos de combinações de níveis de fatores ou experimentos completos.
31;eu acho que é a b 
23;eu tbm acho que é a B 
53;so a b?
23;acho que sim 
32;é que a B me parece repetição
32;mas vamo la
53;pode votar?
32;to achando meio confuso esse texto..
53;responder*
32;vamos na B?
23;ai pera a
23;cho to achando q a B é repetição
31;mas a replicacao e repetiçao parece ser a mesma coisa na real 
31;so to em duvida que ele fala em duplicaçao ali, e a duplicaçao não é replicaçao ne 
32;por isso ta confuso, mas elas n sao a mesma coisa
31;eu acho que nao é entao 
32;Gente, decidem logo que tem apenas 5 min restantes pra essa atividade
32;vamos em qual?
31;eu acho que a C 
31;qual voce acha?
32;C?
23;e a D não ta certa?
53;c
23;eu acho que tá 
53;certeza?
31;a D eu acho que sim
23;TEMOS 5 MIN 
31;vamos genteee
31;c e d ?
23;Só a C ou a C e D 
32;C e D
23;?
31;sim 
23;C e D entao 
23;partiu 
32;partiu, C e D
32;era a B
32;droga
23;não acrediro 
31;afs, a gente é burro 
23;desculpa gente 
31;vamos estudar mais 
31;hahahahah 
32;mas q pergunta mais confusa tb hein
23;80
31;ele falava que duplicacao e repetiçao era a mesma coisa 
53;sim
31;80???
31;so essa?
53;nao
53;pq 80 se os outros numeros forem 0
53;mas sao numeros distintos nao?
23;ahh 
32;o MAIOR valor inteiro gente
53;teria q ser 74, eu acho
31;a soma dos 5 numeros da 80, no caso ne 
53;sim
31;entao 70
32;eu voto no 80
53;o maior se fosse em numeros diferentes seria 74
53;melhor ir no 80 msm
31;http://www.tutorbrasil.com.br/forum/viewtopic.php?t=36591
31;vejam 
32;poq é o MAIOR valor inteiro qe um desses pode assumir, os outros podem ser 0
53;faz sentido
31;https://brainly.com.br/tarefa/1337083
32;q bosta
31;nao sei 
32;vamo na 70 entao
53;pensando q os 4 numeros sao inteiros e positivos excluiriam o 0
23;https://br.answers.yahoo.com/question/index?qid=20120322164001AAxjOYW
23;o carinha resolve aqui 
53;entao o menor ser 1
23;70
23;BORA 
53;70
31;bora
31;ox, nao vi a resposta, acertamos? 
32;forma de sino?
32;a gente acertou cris
31;a q bom
23;o que q é esse sino ai?
31;a esse é aquele grafico la
31;que tem na apostila eu acho
32;sim
32;do grafico
34;podemos usar esse material de apoio
34;http://mundoeducacao.bol.uol.com.br/matematica/variancia-desvio-padrao.htm
32;http://www.portalaction.com.br/probabilidades/62-distribuicao-normal
53;f
54;O estudo da Estatística apresenta medidas de dispersão que permitem a análise da dispersão dos dados. Inicialmente veremos a variância, uma medida de dispersão que mostra quão distantes os valores estão da média. Nesse caso, como estamos analisando todos os valores de cada funcionário, e não apenas uma “amostra”, trata-se do cálculo da variância populacional (var).
31;so a letra f?
53;nao
53;a, d e f
31;a A nao é? 
53;o e nao
31;a beleza 
53;a d f]
53;a d f*
32;a, d e f
31;ok, A D F
32;anaaaa
53;podem responder
23;oiiii
23;A D e F?
53;sim
23;o C ta errado eu acho 
53;a certo
23;a ta certo
31;a A ta certa
31;a F ta certa
31;eu acho 
31;pera que vou ve no caderno
31;a f esta certa
31;a B esta errada
32;A, B, D e F
53;a b ta certa?
23;a B?
32;eu achei que a B tava errada, mas pesquisei e é a mesma formula q ta no meu caderno coeficiente de variacao
31;ta certooo a B
53;ok
31;ta no caderno 
23;a b d f 
53;entao a b d f
23;isso?
23;vou vootar
53;ja respondi
23;eu tbm 
34;acredito que o valor aproximado seja 3
27;E ai
63;Suaves 
59;aopa
60;opa
27;Começamos?
60;vamo la
63;Sim 
27;a é falsa né?
63;Acho que só a C é  falsa
60;to pesquisando aqui ainda
59;A gente usou o escore z na ultima questao para comparar dois conjuntos diferentes de dados nao foi?
63;Isso
27;real
59;então a A é verdadeira certo?
60;sim
63;Adam!
27;Sim 
60;e D ta certa tbm eu acho, b & c nao tenho certeza só
60;to na sua ideia de a c d
59;eu confio na que só a C ta errada
60;isso
60;a b d
63;Acho que só a C é falsa 
59;vamos de abd entao
60;blz
27;vamos de a b d então?
60;mandei
27;suave
59;boa
27;deu bom 
63;Sim 
60;denovo outra q nao dap ra ver
59;mds 
59;ate fazer as contas de tudo issode numero
59;pelomenos ta em ordem ja
27;tem que botar eles em ordem?
59;ta mais deboas
63;Pra ferra com 
63;Eu 
27;haha ah é, não tinha aberto aqui ainda 
60;tem 175 numeros
60;e ta errada
60;a D eu acho q ta certa
59;d ta certa msm
60;c errada
27;é a D
27;Eu acho
59;b ta certa tbm eu acho
59;ah nao a b quase da certo da 1852
59;alguem confere?
59;182*
60;aqui deu 282
60;e dai taria errada
60;a b
27;aqui deu 282
60;pra mim falta so fazer a letra a 
60;e ate agora a d ta certa
59;A ta certa 
63;Pra mim só a D foi verdadeira
27;A 
27;e D 
27;foram verdadeiras pra mim
63;Deixa eu rever isso da A
27;Pela conta que eu fiz 
27;O vigésimo nono percentil
27;fica na posição 51
63;Tá certo 
27;confere?
60;batei aqui tbm
63;A e D
60;a & d
27;A e D então
60;mandei
63;Fechou 
62;oi
62;a letra A esta certa
29;oi
29;sim, A certa de cara
62;pois percentis
29;B errada poq uartil é 25%
62;sao os 100 dados
62;b errada exato
62;c errada
62;3 quartil=75%
29;C errada tb
29;D errada tb
62;d errado tbm
29;E certa
62;e certa
62;f certa
29;F certa
62;entao
29;a, e, f certas
62;a e f
62;caique vota ai
62;letra A E F 
62;certas
62;vota ai
29;queria um desse na prova
62;sim mano facil dmais hahaha
62;cade o caique?
30;estou aqui
62;boa acertamos
30;yes
29;bora
62;a errada
30;tambem acho
62;b errada
62;o 89 é 273
62;NAOOO PERA
62;to falando merda
29;a letra a seria 55, e n 54 né ?
62;percentil é a porcentagem
62;entao
62;qual o numero total de dados?
62;175?
62;dados?
30;calma ai
29;175
29;B pra mim correta
62;sim calma
62;percentil seria 175 /100
62;isso vale 1 percentil certo?
29;sim
62;ai a letra A
62;seria 175/100
62;*34
62;que da 54,25
29;vezes 31 né
62;sendo entao o quinquagésimo quinto termo
30;isso
29;isso e nao o quarto
62;ops isso 31vezes
62;temos qe achar
62;a letra b
62;qe seria o numero 156
29;sim
29;é 288
29;está certa
62;b certa
29;a letra C está errada
30;c errada eu acho
62;a letra d seria o numero 158 da tabela
29;sim
62;d certa
29;d certa tb
30;olhem whats
62;a letra E é o numero 44
62;qe é 262
29;sim
29;e certa tb
30;sim
30;b d e sao as certas?
29;ficou então B, D e E certas
62;pera
62;vo conferir a C
30;ok
29;a C ta errada
62;C errada
29;confia
62;sim ja vi
29;aqui é trabson
62;b d e?
29;sim
62;vvvvota ai
33;dae
46;boa noite grupo
28;salve
24;eai
24;salve salve
24;"o ""Z"""
28;o homens
24;como q calcula msm?
24;é a media sobre 4?
46;letra E ?
33;ja vejo
24;ou mais 8 pra cima e mais 8 pra baixo
24;pra ta nos 95%
33;o amostrasl é
33;o dado menos a media
33;sobre o desvio padrão
46;estou entre a E e a F
24;deu letra E
24;aqui
24;0.857
28;eu acho que é a E
24;vou colocar pra responder entao
46;estou em duvida se é 182-176 ou 176-182
46;dai a duvida da E ou F
24;é 182 - 176
28;espera o gabriel
46;show
33;é a E
33;fica o seguinte
33;(182-176)/7
33;q da 0,86
33;aproximadamente
46;ok
46;bora
28;boa
46;time ?
33;A está correta
33;B está errada, pois divide em 25%
28;b também
28;mas nao diviria 50% de 50%?
28;entendi errado
28;deixa
33;kkkkkkkk
24;a B nao divide em 25%
33;C errada
24;o quartis
46;é A E e F
33;pois o 3 Quartil equivale a 75%
46;A E e F segundo eu
33;D errada
28;to com o matheus
28;A E F
33;E correta
24;deu aqui A E F tbm
24;B C D erradas
46;nois 
33;F correto
46;bora time
24;bora responder entao
33;fechou
58;todas aqui?
44;sim
55;simsim
57;Entrei
44;vamos aos calculos
57;Esta aparecendo no meu enunciado e alternativas
55;acho que não tem cálculo
44;como vamos achar os valores,utiliza a formula passada pelo professor
44;a tabela é a que esta na apostila
58;espera tamires entrar e sair denovo que no dela esta com problema
57;consegui
57;Valeuu
57;essa tabela tem na apostila?
44;sim
58;fazendo a conta com a posiçao 29,a conta da 47,25,e como arredonda para cima seria 48,sendo assim a resposta seria 263
58;A esta certa
44;Araujo, pag 47 da apostila
55;B está errada, pois dá 52,5 e a 53° posição é 265
57;achei,obri
57;usa a formula do percentil valor
57;a letra A deu cert
58;na c da arredondando 123 a posicafica 279
58;c errada tbm
58;na d posicao da 88,273
58;D certa
55;gente, fiz errado a B, vou refazer aqui
55;desculpa
44;as minhas deu divergências
44;vou refazer
57;e a d isso q ia falar
58;na E seria 230
58;B esta errada msm rebeca
55;mesmo refazendo a B está errada
58;pq seria 282
55;pois vai dar 282
55;sim, mas é que tinha feito bem errado, aí não sabia se estava errado mesmo kk
58;so A e D pelos calculos que fiz
44;sim,agora bateu comosmeus
58;todos concordam?
44;asminhas fechou com a da Tamires
44;sim
44;vamos responder?
55;E errada também
55;ficou A e D mesmo?
58;rebeca e tamires concordam com A e D certas?
55;sim
57;respondiii
58;comecar outra
44;vamos aos próximo
57;beleza
57;a internet ta muito ruim aqui, por isso demorandio
55;relaxa, araujoo
44;alguem entendeu
58;nao kkkk
57;não
57;to tentando ver se acho algo
55;é sobre o que ele passou hoje
57;e pra fazer o intervalo?
57;ou nada ve
55;acho que não
55;é sobre tamanho de amostra pg 148
57;seria 500
44;http://www.cienciasecognicao.org/portal/wp-content/uploads/2011/09/Tamanho-da-Amostra-1-1.pdf
44;esse éo link do exercicio
44;e a resposta certa é a letra D 
44;já está resolvido nesse link
44;e refere-se a aula de hoje
58;so vou fazer a conta aqui pra saber fazer direito e nao so copiar do link
44;havia encontrado em outro local a formula e bateu o resultado
55;
55;tem um exemplo na apostila
58;valeu rebecaa
58;fiz aqui
58;bateu
55;imagina
55;beleza
58;tamires?
44;todas concordam com a letra D
57;SIm
57;entendi ,agora
57;acho q voltou agora
58;respondam ai
58;D
58;antes que caia denovo
44;respondido
55;aqui deu agora
37;eita
37;esse tem bastante conta
37;tem que colocar em ordem do menor pro maior agora 
49;e ae
37;tem 175 dados 
49;acho que a a ta errada
49;pera
52;os percentis são medidas que dividem a amostra ordenada (por ordem crescente dos dados) em 100 partes, cada uma com uma percentagem de dados aproximadamente igual. O k-ésimo percentil Pk é o valor x (xk) que corresponde à frequência cumulativa de N .k/100, onde N é o tamanho amostral.
49;vou tentar confirmar 
37;percentis divide em 100 
49;sim
37;vamos ver, o menor valor é qual 
37;ta mt pequenos esses numeros
37;o menor é 200 ne ?
49;nao é msm
37;ta na ordem ja
49;o 29 é o 262
52;A) errada 
49;a errada
37;sim
37;mas ces tao ligado que tem 97 dados
52;sim
37;ah,deve ta errada 
49;como assim 97 dados ?
52;vai dar 280,13
52;o vigesimo nono
49;tem 185 dados, perem alguns são iguais 
37;ah vdd
37;viajei aqui
37;é que tipo, vai do 200 ao 297 porem tem uns repetidos 
37;se fosse ate o 300 ficava mais facil pra dividir essa porra toda 
52;175 dados
31;a esse que a gente aprendeu hoje
31;que escore z?
32;é esse mesmo?
49;175 dados**
49;verdade
32;acho q e da semana ´passada
31;eu acho que é a letra B
49;cada quartil tem 44 dados 
52;B) certa
37;c ta certa 
32;escore z -> z = (numero - media)/desvio padrao
37;cada decil tem 17,5 dados mas dai arredonda pra 18 ne ?
49;b ta errada
49;nao ta no terceiro
49;ta no segundo
49;pq é o dado 127
31;o meu deu um valor muito estranho
52;ele tem que estar no 131,25 + pra ser do 3 quadrante 
31;-60 e alguma coisa
49;b ta errada
31;deve estar errado
49;mano
32;kkkk
32;é a A
31;beleza entao 
49;ele ta em 127
52;B)errada
49;ta no segund
32;nossa q saco esse
31;que imagem ruim de ver 
49;A-errada
31;e quantos numeros 
49;B- errada
37;a n tava certa ?
49;not
52;a c ele tem que estar no 123+ pra ser no 7 
32;pelo menos ja esta em ordem
37;q saco ter 500 mil dados, podia ter uns 20 que ja tava bom 
32;a formula é: L = (k/100).n
49;acho que ta no 5° o 280
52;C) errada
49;c ta errada
52;d tem que estar no 88
31;é a letra C?
32;o 100 é pra percentil entao muda se for decil e quartil
37;a c ta em qual ?
31;Quartis: São as observações que dividem o rol em 4 partes iguais e são denotadas por Q1, Q2 e Q3. ► Decis: São as observações que dividem o rol em 10 p : São as observações que dividem o rol em 10 partes iguais e são denotadas por D1,D2, . . . ,D9. ► Percentis Percentis: São as observações que dividem o rol em : São as observações que dividem o rol em 100 partes iguais e são denotadas por P1, P2, . . . , P99. Note ainda que Q2 = D5 = P50 = Me.
37;pela minha conta deu 124
32;vc foi nessa aula?
31;nao, tava com caxumba
52;D) certa
49;a d ta certa
32;ah entao, por isso to te passando a formula
49;a e ta certa
49;ta em 17, e o limite é 18 porai
49;só a d e a e que estao certas
49;bora
52;E) certa
31;ta
52;bora?
32;Posiçao = (Variavel/100 ou 10 ou 25) X numero total
52;concorda?
49;sim
49;shima ?
37;pera
37;como
37;que é ?
37;quais as certas me perdi 
32;cris, tem 190 numeros?
37;D, E corretas
21;Oiii gente
51;Olá
37;o meu ficou
21;Nilton avisa a Carol q consegui
31;175???
21;P ela entrar
37;a- errada , b-errada, c- errada, d- certa, e-certa
31;eu acho
51;pedi pra entrarem
52;A) correta 
32;eita... vou contar dnv
52;ele tem que estar no 51
49;a a ta certa tbmm
31;ta
49;siim
21;Belrzaa
49;tem que estar no 51
49;tem que fazer 175/100*29= 50.75 
37;hmmm
37;entao coloquei la A correta
21;Será que não conseguimos responder? 
49;tem que estar no 51 porque sempre arredonda pra mais
51;Essa eu acho que é a b e d
49;a,d,e corretas
21;Belee
51;mas acho bom esperar a carol pq se não ela não ganha ponto de colaboração
21;Eu já marquei aqui
21;Ah beleza
21;Avisa ela q consegui entrar
52;sim
21;Pq não posso sair daqui 
21;P por no whats
21;Pq tô pelo velular
22;Oii
52;errou 
21;Oiii miga
22;a. b e d?
37;vish
49;da nada kk
32;é 175 msm
31;contou?
51;concordo
21;Eu marquei b e d
21;Mas arruma aqui entao
32;sim
49;95 % é 2 DP
21;A b e d?
31;entao
51;deixa só eu confirmar na apostila
22;acho que só a C tá errada
52;2 desvio padrão 
51;também acho carol
51;marquei A B D
37;o
52;uée
37;pra voces ta aparecendo a mesma tabela do exercício anterior 
52; essa tabela ai 
52;asihashuahsa
49;nao entendi essa
52;vamos dar um f5
49;sim
37;acho que n era pra estar ai 
49;a msm tabela
22;responde ai Dri
52;deem f5
52;ja muda
49;mudou
49;kkk
21;Respondi loca
22;a b d
37;ae deu
22;eu tmb
21;Ahamm
51;aqui diz que você marcou B e D
32;A é certa
21;Agora doi
51;Boa time
37;https://www.passeidireto.com/arquivo/3099425/estatistica/5
51;agora é chato eim
22;vou pegar meu caderno
22;pera ai
49;alfa é 0.005
51;ai tem 175 valores
49;e= 500
21;A do 228 tá certa
49; σ = 6250
52;EXEMPLO 1 Um economista deseja estimar a renda média para o primeiro ano de trabalho de um bacharel em direito. Quantos valores de renda devem ser tomados, se o economista deseja ter 95% de confiança em que a média amostral esteja a menos de R$500,00 da verdadeira média populacional? Suponha que saibamos, por um estudo prévio, que para tais rendas, s = R$6250,00.  Dados da sua questão: Grau de confiança = 95% -> quer dizer que a área de normailidade está a até 1,96 desvios padrões da média. erro = 500 desvio padrão = 5.500  Erro = z. desvio padrão das médias 500 = 1.96 . desvio padrão das médias desvio padrão das médias = 255.10  desvio padrão das médias = desvio padrão do estimador/ (n^0.5) 255,10 = 5.500 / (n^0.5) n^0,5 = 21,56 n = 464,83 = 465 (sempre se arredonda para cima)
52;só mudar os valores
49;ai só jogar na formula que ta no caderno
52;vejam ai 
37;seu nome é pablo miguel ?
52;poderia ser
52;ou escobar
49;dei 601 aqui
52;na vdd falei pra mae
52;seria mais bonito
52;aaaaaaaaaaaa
52;agora que vi o link
52;asiasiajsajsjaisj
52;nice guy 
37;kkkkkkkkkkkkkkkkkkkkkkkkk
22;a A tá errada
31;a c esta certa?
51;A tá errada msm
21;A e tá certa
49;concordam ?
32;n
52;bora por a resposta então
22;certa? pq?
52;obviamente
52;com força
52;vigor 
32;acho q só a A msm
31;votar so na A?
32;acho q é
37;deu 601 pra mim tb
52;responda ai
37;letra D de djony ?
51;(17/175)*100 dá um numero que é aproximadamente o primeiro decil
22;a B tmb tá errada
51;a D tá certa
22;vou ver a E
51;e ta certa
51;pode confiar kk
51;Faz a c carol
22;d e
51;é do lado da b quase
21;Não confia em mim Carol? 😠
51;a D tbm tá certa
21;Kkkkkkk
21;Gente
21;Baixei a parada aqui do whats a lua na falou p esperar ela
22;confio sim
21;E aí? 
22;mandei msg pra ela aqui
21;Blz
22;ela disse que já chega na casa
22;e agrw
22;?
51;Então só recapitulando
51;A tá certa
51;B errada ??
51;D tá certa
51;E tá certa
51;a C alguémf ez?
21;Vamos esperar mais um pouco entao
21;Se ela não aparecer 
21;Xontinuamos
51;tem 16 minutos
22;a B, ela está no 3 quartil
21;Agora q vi aqui são apenas 2 excs 😍
22;melhor fechar o sistema
22;tá
22;vamos fechar o sistema, daqui a pouco voltamos
21;Berle
22;gente , a B 
22;o valor está no terceiro quartil
21;E aí gente
22;a C ESTÁ ERRADA
42;Oi gente
22;oI
51;quais são as erradas então?
51;C ?
21;A d e E?
22;então, a b EU FIQUEI EM DUVIDA
22;C ESTÁ ERRADA
22;VAMOS FAZER A D E
22;?
51;pode ser
21;Beleza
42;Pode ser 
45;boa
61;kd o joao 
61;?
45;falo q vem daqui a pouco
45;ta ocupado
61;blz
45;como q é a formula do score z
45;valor - media ou media - valor?
61;calma ai 
45;é valor - media
61;dividido pela variancia
45;letra a ne?
45;confere?
61;nem fiz ainda 
61;calma ai 
45;a primeira da -1,13
45;só q a segunda fica 98.2-98.2/0.62
45;fica 0/ 0.62
45;acho q fica 0 dae
45;lettra a entao?
61;isso msm 
61;fiz aqui e deu isso msm
45;boa
61;boa
45;vou pegar a apostila perae
61;blz
61;to fazendo aki
38;ooooooooooooooooooooooiiiiiiiiiiiiiiiieeeeeeeeeeeeeeeeeeeeeeee
45;letra a falso
61;sim
38;prova de esttatistica é amanhaaaa
38;estudem
45;kkkkkkk teu zoio
61;kkkkkk
61;mentira
61;b falsa
45;isso b falso aqui tbm
45;c verdadeira
45;a letra D deu 50.3... e agr arredonda pra cima ou deixa 50 sera?
45;se deixar 50 a letra d é verdadeira
61;pra cima 
38;galera
38;nao sei fazer esa coisa
38;to tentendo aqui
38;mas nao ta indo
45;te ensinei aquele dia viado
38;eu esqueci
38;ué
45;letra E 9.1
45;se arredondar pra cima é verdadeira
61;c e falsa
61;correto?
45;aqui deu verdadeira
45;deu C e E verdadeira aqui
61;o meu deu 122.5
61;posicao 123 entao 
61;279
45;tem 91 numeros menores ne?
45;que 280
61;d verdadeira
61;mais ele passo a formula
45;aí 91.100=9100/131=69.4... não é isso?
45;dae arredonda fica percentil 7 q é o setimo odecil
45;percentil 70*
61;eh o percentil divido por 100 vezes por quantidade de numeros
25;Os quartis são:  1. Primeiro Quartil (Q1): valor que deixa 25% das observações à sua esquerda.  2. Segundo Quartil (Q2 = mediana): valor que deixa 50% das observações à sua esquerda.  3. Terceiro Quartil (Q3): valor que deixa 75% das observações à sua esquerda.
25;a B, tá estranha 
47;to aqui
47;eita 9 min rstantes?
61;pra mim so a c eh verdadeira 
25;E tá  certa
45;a C? vc falou q a C é falsa kkkkkkkk
45;pra mim a c deu verdadeira tbm
47;cade vcs?
61;kkkkkkkkkk
45;e agr?
45;qnt deu tua letra E?
45;12.100/131=9.2 não deu isso?
61;isso
45;arredonda fica 10 dae
61;pq /131?
41;ja começou kkk
45;é /100?
25;kkk achei que tava aí 
41;hahaha
50;puts, nem vi que tinha começado
25;A,E eu acho que tá certa
47;q merda
61;responde oq vc acha ai
61;vai acabar o tempo
61;qual vc vai colocar
45;e agr? aqui deu C e E certo kkkkk
38;ovai c msm ?
61;coloco tbm
38;vamo as duas
25;to em dúvida na F
50;B
50;C
50;Acho que só essas
47;blz
50;Na D o escore pode estar acima da média também, não só abaixo
47;cara
47;aqui apareceu a resposta ja
47;sera que deu ruim?
50;a primeira deu boa
47;só v repondeu kk
50;b e c
50;puts
47;sera qu tem problema?
50;vamos esperar o Nunes
41;eu acho q na f teria q ser a 'media' né ?
50;To mandando essa questão pra eles no whats enquanto eles não entram
47;ta
47;qualuer coisa a gente fala com a prof
50;sim
25;ahh
25;verdade 
48;ooi
25;calma 
25;é mediana 
47;a primeira ja foi
25;tá  certa
41;blz
25;a,e, f
41;ok
41;mds
25;não to nem conseguindo ver kkkk
41;tbm n muito ta dificil 
41;acho q é igual a do livro 
41;vou mandar foto no wats 
40;Pelo celular eh horrível isso aqui, mil anos pra eu entrar hahaha
48;voces sao muito rapidos
25;mil anos 
25;hushaushuah
41;ah 
41;clica em cima da imagem com o botao direito do mouse
41;e aperta em abrir imagem em nova guia 
25;orra
25;ficou grande kkkk
41;kkkkk
50;Jhonson = 1,667
50;Oneal = 1,52
50;Me correjam
47;caravc é muito rapido
47;frexe
50;Usei Z = (x-média)/desvio padrão
50;kkkkk
50;dfrexe
48;mas voce esta certo disso ? ma oe
40;So da pra responder qdo todo mundo responde junto?
25;E tá certaaa
50;C?
25;D também
47;oi
25;a letra C, não é quinquagésimo quarto?
47;renan ta bugao
48;oi
25;B tá certa
50;Caiu a net aqui, maravilha
56;deu boa
56;ihu
50;Isso mesmo?
50;Só a C?
47;c?
25;e,b,d
48;c mesmo?
41;C no meu deu 52,5
41;175.30/100
25;mas daí não tem que arredondar pra um a mais
25;vai dar 53
41;vdd
41;e b d 
25;cade a karinnnn
50;Já respondi
48;eu tambem
47;eu tambem
48;l
48;e
48;t
48;r
48;a
48;c
34;http://leg.ufpr.br/~silvia/CE055/node27.html
34;aqui fala sobre score
